Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
161,2,4,3,5,3,5,3,3,-0.575,-0.345,-0.215,-0.618,0.554,0.335,1,0,1
162,5,5,4,5,2,5,4,3,0,-0.376,-0.314,-0.382,0.554,-0.335,,,1
163,3,4,5,5,1,2,5,1,0.695,0,0.346,0.546,-0.951,-0.684,,,
164,3,3,3,3,5,3,5,4,0,-0.169,-0.121,-0.546,0.182,0,0,0,0
165,5,5,4,2,3,5,3,1,0.169,-1.074,-1.257,0,0.554,0.335,2,1,0
166,5,5,5,3,1,2,5,5,-0.231,0.532,-0.408,-0.327,-0.554,0.335,1,0,1
167,4,5,5,5,5,5,4,5,-0.169,-0.523,-0.403,-0.47,-0.182,0.335,1,0,1
168,1,5,2,4,1,2,5,3,-0.181,-0.181,0.121,-0.287,-1.393,-1.059,0,0,
169,5,5,2,5,5,3,3,5,-0.77,0,-0.763,-0.633,-0.951,-0.684,1,0,1
170,4,3,4,3,2,5,5,3,-0.169,-0.376,-1.014,-0.149,0.554,0.684,1,0,1
171,2,4,3,2,2,5,3,3,-0.169,-0.376,-0.484,0,0.554,0.684,1,0,0
172,5,3,3,3,4,5,4,1,-0.575,-0.376,-0.408,0.17,0.951,1.482,1,0,0
173,4,4,3,2,3,5,3,3,-0.523,-0.77,-0.516,-0.327,0.554,0.684,1,0,0
174,5,2,2,2,5,5,4,2,-0.197,-0.77,-0.457,0.214,0.951,1.059,2,1,0
175,3,5,3,3,1,5,4,5,-0.376,0,-0.314,-0.738,0.554,0.684,1,0,1
176,2,5,3,4,3,5,3,5,-0.376,-0.345,0.234,0.307,-1.393,-0.684,,,0
177,4,4,4,2,3,3,3,1,-0.864,-0.197,-0.247,-0.618,-0.182,0.684,1,0,1
178,1,3,5,5,1,3,5,1,0.181,0.864,0.234,-0.287,-0.951,-0.335,1,0,0
179,4,3,3,3,2,3,1,1,0.169,-0.575,-0.498,-0.141,0.182,0.684,1,0,0
180,5,3,1,3,1,5,4,1,0.169,-0.523,0,-0.738,0.951,0.335,1,0,1
181,2,5,4,2,4,5,4,3,0,-0.169,-0.288,-0.149,0.951,1.059,0,0,1
182,4,4,3,3,3,5,4,5,-0.169,0,-0.105,-0.149,0.554,0.684,1,0,1
183,4,3,3,3,5,5,5,3,-0.345,-0.575,-0.61,-0.159,0.182,0.684,2,1,0
184,4,3,3,3,2,5,3,4,0.169,-1.074,-0.61,-1.036,0.951,0.684,2,1,1
185,2,3,4,2,2,5,3,4,-0.575,-0.77,0,0.436,-0.182,0,,,0
186,4,4,5,3,2,5,4,3,0.169,-0.376,-0.362,-0.618,0.951,0.684,1,0,1
187,2,5,3,2,2,5,3,1,0,-0.575,-0.424,0.17,0.554,0,,,1
188,4,5,3,2,2,5,3,1,0,-0.345,-0.822,0.436,0.951,-0.335,0,0,0
189,9,4,2,2,2,5,3,3,0.345,-0.169,-1.368,0.436,0.182,0,0,0,0
190,5,4,3,3,3,5,3,5,0.169,-1.074,-0.331,0.149,0.554,0.684,1,0,1
191,4,3,3,3,2,3,3,3,-0.169,-0.523,-0.535,0,0.951,0.684,1,0,1
192,4,5,4,2,4,3,5,1,-0.406,-0.169,-0.7,-0.406,0.182,0,1,0,1
193,3,4,3,3,2,5,1,3,0.376,-0.169,-0.127,-0.929,0.554,0,1,0,1
194,2,5,4,3,3,5,1,4,-0.575,-0.77,-0.105,0.149,0.554,1.059,,,1
195,2,4,3,3,2,5,4,1,0.169,0.575,-0.566,-0.37,0.951,1.059,1,0,1
196,5,4,3,5,2,5,2,4,-0.575,-0.345,-0.19,-0.214,-0.951,0.335,0,0,0
197,1,5,2,3,2,3,3,1,0.169,-0.77,-0.621,0.149,0.951,1.482,1,0,0
198,1,5,3,5,1,5,5,2,0,-0.197,-0.448,-0.327,0.182,0,1,0,0
199,4,3,3,5,3,4,3,1,-0.406,0.169,0.658,-0.693,-0.554,-1.059,1,0,1
200,3,4,2,2,1,3,4,2,0.169,-0.231,-0.484,-0.406,1.393,1.059,1,0,1
201,4,4,2,2,2,5,3,4,0.169,0.231,-0.484,-0.406,1.393,1.059,1,0,1
202,1,4,2,3,4,2,3,4,-0.345,-0.77,-0.856,-0.738,0.951,1.059,1,0,0
203,4,3,2,3,5,3,4,2,-0.77,-0.376,-0.468,-0.618,0.554,1.059,0,0,0
204,5,5,3,2,3,5,3,3,-0.169,-0.197,-0.658,-0.47,0.554,0.684,1,0,1
205,3,4,2,3,1,5,5,5,-0.169,-0.575,-1.138,0,-0.182,1.059,1,0,0
206,1,5,3,2,1,2,2,3,-0.695,-0.169,-0.448,0,-0.951,-0.335,1,0,1
207,3,2,2,3,3,3,3,1,-0.376,-0.376,-0.302,0.159,-0.951,-0.335,1,0,0
208,2,5,5,5,4,3,3,5,0,0.169,-0.535,-1.162,0.951,1.482,1,0,1
209,3,4,3,2,2,2,3,1,-0.376,0.345,-0.484,1.162,-0.182,-0.684,1,0,0
210,3,5,1,1,5,5,1,1,0,-0.376,-0.543,0,-0.951,-1.482,0,0,0
211,2,5,2,2,2,4,4,5,0.197,-0.575,0.115,0.436,-0.554,-0.684,1,0,1
212,4,3,4,5,2,5,4,1,-0.169,-0.864,-0.424,-0.738,1.393,0.335,1,0,0
213,1,4,3,2,1,5,4,2,0.864,0.231,-0.484,0,-0.554,-1.059,0,0,0
214,5,4,3,3,1,5,4,1,0,-0.523,-0.328,-0.436,0.554,0.335,1,0,1
215,3,5,5,1,2,5,2,4,-0.77,-0.575,0,0.327,-1.393,0.335,0,0,0
216,5,4,3,3,3,5,3,1,0,-0.77,-0.115,-0.47,0.182,0.684,2,1,0
217,5,4,3,5,1,5,4,4,-0.77,-0.532,-0.684,-0.37,0.182,0,1,0,0
218,4,2,4,3,2,3,3,1,0.575,0.181,-0.346,-0.382,-0.182,0.684,1,0,0
219,5,3,3,3,4,3,3,3,-0.345,-0.376,-0.127,1.336,-0.182,0.335,1,0,1
220,3,3,4,3,4,5,3,5,-0.181,-0.77,-1.056,-0.871,0.182,0.684,1,0,0
221,2,1,2,3,2,3,3,5,-0.197,-1.453,-0.213,-0.17,0.951,0,1,0,0
222,1,5,3,3,5,2,3,5,-1.453,-0.532,-0.401,0.214,-0.554,-0.684,1,0,1
223,5,4,3,3,2,4,3,1,0,-0.77,-0.684,-0.871,0.951,1.482,2,1,0
224,5,4,3,3,2,5,5,1,0,-0.77,-0.314,0,-0.182,0.684,1,0,0
225,5,5,5,2,2,3,3,2,-0.345,-0.575,-0.355,-0.499,0.951,0.684,1,0,0
226,2,5,3,3,3,5,2,2,-0.523,-0.345,-0.733,0,-0.182,0.335,0,0,1
227,3,3,3,2,2,3,3,3,0,0.169,-0.141,0.214,0.182,0.335,1,0,1
228,3,5,3,3,3,2,5,2,0.376,0,-0.376,-0.181,-1.393,-1.059,2,1,0
229,5,5,3,3,3,5,3,4,0,-0.77,-0.424,-0.181,0.182,0,1,0,0
230,1,4,3,2,5,3,5,5,-0.169,-1.074,-1.014,-0.214,-0.182,1.059,2,1,0
231,5,3,3,5,3,2,5,4,-0.169,0.532,-0.247,0.618,-1.393,-0.335,1,0,0
232,4,5,2,2,2,5,3,1,-0.77,0,-0.234,-0.181,0.951,1.059,1,0,1
233,5,2,1,1,2,5,2,1,-0.169,-1.453,-0.881,0,-1.393,-0.335,2,1,1
234,5,5,2,2,2,5,4,1,0.575,0.231,-0.515,0.327,0.182,0,2,1,0
235,4,4,2,2,1,5,5,2,0.197,-0.376,-0.515,0.327,0.554,0.335,1,0,1
